iter	Logloss
0	0.6677643832
1	0.6457892771
2	0.6260665736
3	0.6070252666
4	0.5915302527
5	0.5773968991
6	0.5654794476
7	0.5529351714
8	0.5410371373
9	0.5305167872
10	0.5218698897
11	0.5136075003
12	0.5036362665
13	0.4959473243
14	0.4904956891
15	0.4840236237
16	0.4766099194
17	0.470577316
18	0.4645362164
19	0.4564654738
20	0.4520611437
21	0.4439417853
22	0.4388913526
23	0.4313936993
24	0.4283981294
25	0.4200980756
26	0.4133341241
27	0.4110375728
28	0.408235084
29	0.4062256633
30	0.4038370514
31	0.3999221199
32	0.394714876
33	0.3926254813
34	0.3903546288
35	0.3841008167
36	0.3734877123
37	0.3722735509
38	0.3702112459
39	0.362578433
40	0.3583765179
41	0.3560684582
42	0.3545831523
43	0.3532269713
44	0.3522363138
45	0.3511916292
46	0.3503079225
47	0.3495697262
48	0.344410165
49	0.3417498244
50	0.3388187755
51	0.3358695419
52	0.3349701516
53	0.3335602269
54	0.3326163763
55	0.3319372095
56	0.3313525249
57	0.3302061207
58	0.3283162381
59	0.3271923832
60	0.3260752895
61	0.3254519316
62	0.3249189737
63	0.3230967515
64	0.3195669976
65	0.3191354466
66	0.3180177313
67	0.3166745176
68	0.3145814107
69	0.3126141067
70	0.3086888253
71	0.3069395304
72	0.3065492816
73	0.3051304021
74	0.3035116294
75	0.3031423661
76	0.3027383677
77	0.30233524
78	0.301693641
79	0.3012208948
80	0.3007459615
81	0.2999950196
82	0.2993769499
83	0.298608871
84	0.2976611332
85	0.2973450953
86	0.2970034882
87	0.2967596685
88	0.2964422213
89	0.2958018099
90	0.2952681516
91	0.2949908262
92	0.2939160747
93	0.2936370226
94	0.2933524351
95	0.2924336442
96	0.2919481113
97	0.2910627386
98	0.2872825865
99	0.28579494
100	0.2845491977
101	0.2827948135
102	0.2820668805
103	0.2814659948
104	0.281230606
105	0.2809616179
106	0.2806783091
107	0.2801843182
108	0.2797858255
109	0.2792290416
110	0.2790592895
111	0.2788803935
112	0.2781082555
113	0.2777031095
114	0.2772155457
115	0.2768847537
116	0.2767222751
117	0.2762592946
118	0.2754734114
119	0.2749353698
120	0.2745376591
121	0.2737690179
122	0.2735436592
123	0.2728688597
124	0.2725342275
125	0.2716166663
126	0.2709983876
127	0.2706634769
128	0.2704293386
129	0.270273297
130	0.2700163066
131	0.2698590557
132	0.2696705386
133	0.2694922014
134	0.2693203726
135	0.2691619936
136	0.2689922249
137	0.2686767951
138	0.2685316952
139	0.2684185458
140	0.2683257809
141	0.2677775613
142	0.2675626462
143	0.267439763
144	0.267006983
145	0.2669186471
146	0.2667789916
147	0.266379489
148	0.266133973
149	0.2659659728
150	0.2644693592
151	0.2642725924
152	0.263961766
153	0.2637046692
154	0.2633412419
155	0.2632154952
156	0.2630671347
157	0.2628267217
158	0.2626800542
159	0.2619310994
160	0.2616361754
161	0.2615219696
162	0.2608475628
163	0.2606387179
164	0.2600715661
165	0.2598264812
166	0.2596225051
167	0.2594989161
168	0.2593864468
169	0.2589748217
170	0.2587107967
171	0.2582873615
172	0.2581146103
173	0.2579782517
174	0.2579060359
175	0.257725891
176	0.2576106259
177	0.2572688164
178	0.2571948706
179	0.2568569906
180	0.2567816008
181	0.2566841087
182	0.2556821533
183	0.2553270678
184	0.2547050871
185	0.2545738611
186	0.2542122082
187	0.254134051
188	0.2538848971
189	0.253129463
190	0.253054093
191	0.2529430329
192	0.2520632533
193	0.251901029
194	0.2518005983
